username	tweet	hashtags	mentions
LovesFearless	RT @Chopperator: Taylor Swift Eras Tour at Soldier Field Chicago by drone #TaylorSwift #TaylorSwiftErasTour #SOLDIERFIELD  #ChicagoTheErasT…	['TaylorSwift', 'TaylorSwiftErasTour', 'SOLDIERFIELD']	['Chopperator']
bridgecityswift	@vmas i would ask everyone their favorite taylor swift song because she’s my favorite ever and a persons favorite song slays a lot about them�� #VMAs	['VMAs']	['vmas']
dearlovernjh	RT @tsgiveaways_: vinyl giveaway!! winner can choose any taylor swift vinyl just rt/like to enter international and ends 22nd dec ����	[]	['tsgiveaways_']
aliaswinter	"RT @ThrowbackTaylor: 13 years ago today, taylor swift performing her ""monologue song” at snl, taylor was the first person EVER to fully wri…"	[]	['ThrowbackTaylor']
latimes	"Taylor Swift's “Carolina” is one of this year's best original song contenders at the #Oscars.

""Likely to be lost in the massive splash of her megahit #MidnightsTS album, but it’s effective, haunting Americana,"" writes @MichaelOrdona. https://t.co/QBai8b0bwl"	['Oscars', 'MidnightsTS']	['MichaelOrdona']
theprovince	"The Province
8hTaylor Swift, Obama lead tributes in star-studded Rock Hall of Fame ceremony
theprovince.com
Taylor Swift, Obama lead tributes in star-studded Rock Hall of Fame ceremony"	[]	['theprovince']
rawdorable	Almost forgot 4 p.m. @ToneItUp plank twists. Did them to this Taylor Swift cover on @hellogiggles  http://tinyurl.com/c4v496h  #LoveYourBody #VSX	['#loveyourbody', '#vsx']	['toneitup', 'hellogiggles']
Raymond_Norman	RT @jesshakeitoff: humans are not built to process 31 lyrically dense taylor swift songs at once https://t.co/IkBvlML6qe	['']	['jesshakeitoff']
waheedaharris	"RT @TheBeaverton: Pierre Poilievre vows to hold Trudeau accountable for Taylor Swift leaving Canada out of tour dates 

https://t.co/VBJ4qI…"	[]	['TheBeaverton']
PauletteParis1	RT @highbrow_nobrow: Hannity: Maybe Taylor Swift just bought into all the lies about Republicans that they are racist and sexist and homoph…	['']	['highbrow_nobrow']
hogwarstx	"RT @taylortvtrechos: ""eu não quero te machucar, eu só quero estar bebendo em uma praia com você em cima de mim""

— end game, taylor swift"	[]	['taylortvtrechos']
justfara	Taylor Swift Gives Bonuses Totaling Over $55 Million to Every Person Working on Massive Eras Tour https://t.co/WRqkcrpIa3 via @people	[]	['people']
RyanJayBailey	For those requesting, here's the first part of the video where Taylor Swift walks on stage with @HAIMtheband https://t.co/gY2iVcOyYt	[]	['HAIMtheband']
guylodge	Yes, I cannot deny that my good friend Taylor Swift has paid me handsomely to praise her performance in Cats.	[]	['gcmackay81']
ioninteractive	Haters Gonna Hate: Taylor Swift is Revolutionizing Marketing (No, Really)   http://okt.to/iWMmGR  via @salesforce #marketing	['#marketing']	['salesforce']
alispagnola	RT @AKOD: Taylor Swift and Ska. This is right at the center of my Venn diagram. https://t.co/AX2SyAuYh0	[]	['AKOD']
MrCoachAins	RT @painsworth512: Outside of the box, but any of my dfw people with a pair of Taylor Swift tickets for Sunday, for like less than $1k, hit…	[]	['painsworth512']
film_girl	So I’m wearing leggings and my Stella McCartney x Taylor Swift hoodie on the flight. But when I land in Orlando it will be hella hot, which I realized after I’d already packed in packing cubes. So I’ll be wearing a @foursquare Brooklyn jersey from like 2015 once I land. Lol.	[]	['foursquare']
irish_news	"The Irish News
11hTiernán Heffron (22) from Randalstown, was playing his weekly session at the Tipsy Bird bar when he was told that Taylor Swift was in the audience
Co Antrim singer says 'dream come true' to perform Belfast gig for Taylor Swift
A CO Antrim singer has told of how it was ""a dream come true"" to perform a gig in Belfast in front of pop royalty.
irishnews.com"	[]	['irish_news']
shivampercy	"RT @spotify_swift: Taylor Swift (A) on Apple Music:
#36 Kuwait (NE)
#38 Philippines (+11)
#69 Saudi Arabia (NE)
#96 Canada (+21)
#103 Unite…"	[]	['spotify_swift']
THR	"The Hollywood Reporter
9h‘Where the Crawdads Sing’ Trailer: Daisy Edgar-Jones Goes from “Isolated” to “Hunted”
hollywoodreporter.com
‘Where the Crawdads Sing’ Trailer: Daisy Edgar-Jones Goes from “Isolated” to “Hunted”
The preview for the film, based on the best-selling book of the same name and set to hit theaters this summer, also features new music from Taylor Swift."	[]	['THR']
HeartEyes4Brady	"RT @GilletteStadium: “This is the rainiest rain show that ever rain showed, ever, ever ever.”” -Taylor Swift just now

STOP HER WHEN SHE’S…"	[]	['GilletteStadium']
storm_colors	RT @Imani_Barbarin: I have to be Rick rolled by disintegrating paper straws for the rest of my life but Taylor Swift gets to take a 13 minu…	['']	['Imani_Barbarin']
Asmiirin	RT @4liciag: Todos celebrando las fechas internacionales de Taylor Swift  como si la policía no hubiera encontrado restos humanos y evidenc…	[]	['4liciag']
PopCrave	"Pop Crave
Nov 14Cardi B shows her support for Taylor Swift and the “All Too Well” short film.
203
1.4K
18.4K"	[]	['PopCrave']
POOPSCRUFFIN4U	RT @snelsonmandela2: just listened to Taylor swift's new album and I don't get the hype. It struck me as an odd decision to have a constant…	[]	['snelsonmandela2']
ELLEfrance	RT @ELLEfrance: Miley Cyrus, Shakira, Taylor Swift… : c’est quoi le phénomène de la « revenge song » ? https://t.co/niektPdQEK https://t.co…	[]	['ELLEfrance']
dealbook	In today’s DealBook: @bernhardwarner on the big questions after the Fed-fueled rally; the former top Disney executive joining Nelson Peltz; Blackstone’s Taylor Swift-ian holiday video; @laurenshirsch &amp; @alanblinder on the rift in the PGA Tour; and more. https://t.co/Dn4ayeOITU	['']	['BernhardWarner', 'LaurenSHirsch', 'alanblinder']
hooplasoftware	"""Our reps love being able to choose their walk up songs...some guys play Taylor swift when they close a deal"" #sales #DF15 @guidespark"	['#sales', '#df15']	['guidespark']
centsiblelife	Taylor Swift's sexual assault testimony was sharp, gutsy, and generally not messing around:  http://www.slate.com/blogs/xx_factor/2017/08/10/taylor_swift_s_sexual_assault_testimony_was_sharp_gutsy_and_satisfying.html?wpsrc=sh_all_dt_tw_top … via @doublexmag	[]	['doublexmag']
jeanninemorris	New post: The Truth About Magazine Cover Credits (ie: Taylor Swift for @Vogue)  http://tinyurl.com/7chhk83 	[]	['vogue']
silverskyjanet	"RT @Cosmopolitan: Taylor Swift Reveals How Her Brand New ""Karma"" Collab. with Ice Spice Happened https://t.co/UTCZG4Fk1J"	[]	['Cosmopolitan']
tmz	Full Transcript of Taylor Swift & Kanye West's Phone Call Revealed (via @JustJared) http://tmz.me/KxnpyuW 	[]	['justjared']
ThisIsNoahEvans	"RT @GergelyOrosz: It’s against US law to promote unregistered securities.

Taylor Swift was the only major celebrity who did due diligence…"	[]	['GergelyOrosz']
DailyMailCeleb	"Daily Mail Celebrity
22hTaylor Swift fans call on her to pull her music from Spotify amid Joe Rogan row
dailymail.co.uk
Taylor Swift fans call on her to pull her music from Spotify
Spotify shares were going for $197.1 each in after-hours trading Monday evening after falling to about $165.2 on Friday."	[]	['DailyMailCeleb']
guylodge	This is an absolutely terrific interview by @laurasnapes with Taylor Swift, in which she comes off both as thoughtful and still figuring a lot of stuff out. That’s allowed. This quote will stick with me.  https://www.theguardian.com/music/2019/aug/24/taylor-swift-pop-music-hunger-games-gladiators … pic.twitter.com/CF2Bf6x2k9	[]	['laurasnapes']
venicesangel	"RT @TheSwiftSociety: 🚨| Taylor Swift finally performed ""The Way I Loved You"" for the FIRST time at The Eras Tour https://t.co/7rwI653of6"	['']	['TheSwiftSociety']
fintechfrank	RT @stephanie_murr: The local news is talking about Taylor Swift playing Gillette like it’s an incoming nor’easter	[]	['stephanie_murr']
billboard	"billboard
12hA federal judge ruled Thursday that Taylor Swift must face a jury trial over accusations she stole the lyrics to “Shake It Off” from another song. #BillboardNews"	['BillboardNews']	['billboard']
lisaflip	RT @ByKaceyLaine: I know taylor swift plans things 3 years in advance, but I’d like to know how she planned for me to be this emotionally u…	[]	['ByKaceyLaine']
LeahLitman	"posted. 
@StrictScrutiny_
 Tik Tok about Taylor Swift’s counter suit re: Evermore, and sirs.... while I will take the negs directed at me, I WILL NOT STAND for any hate directed at Taylor."	[]	['StrictScrutiny_']
saoasflores	RT @futureofrep: not enough people talk about one of taylor swift’s best bridges https://t.co/sRGV72gfdx	[]	['futureofrep']
VenaurGaming	@AustinOnTwitter and @carolinekwan @CashApp my favorite song by Taylor Swift is Shake it Off!!! $Venaur	[]	['AustinOnTwitter', 'carolinekwan', 'CashApp']
therecordsguru	#InfoGov News: How Taylor Swift showed us the scary future of facial recognition - @guardian  http://ow.ly/iSVO30nIg4v 	['#infogov']	['guardian']
williamslauram	RT @Slate: Is Taylor Swift really entering her Matty Healy era, or if this is simply another example of publicist extraordinaire Tree Paine…	[]	['Slate']
phyto_usa	RT @peoplemag: PHOTO: Taylor Swift gets new bangs. What do you think? (Via @StyleWatchMag)  http://ow.ly/7MRyL 	[]	['peoplemag', 'stylewatchmag']
jwegener	A stadium with 60,000 screaming fans watching Taylor Swift. Crazy to think 100x more ppl check @Timehop everyday :) pic.twitter.com/FN5KTgzU9U	[]	['timehop']
delia_cai	RT @kathrynfiona: the Taylor Swift security guard incident was served to me TikTok-by-TikTok until I had seen every possible angle and witn…	[]	['kathrynfiona']
IAMvDroid13	"RT @ErasVersion13: It’s time to bring all Indians who want to see Taylor Swift here in india playing a sold out show. 

Tweet the hashtag #…"	[]	['ErasVersion13']
alexnpress	RT @evelyngfrick: sorry my main takeaway from this article is that taylor swift’s pianist is named karina depiano https://t.co/EotvDk31o1	[]	['evelyngfrick']
FunnyWilfred	"Wilfred
Sep 15Shut up bitch. Your legs are like Taylor Swift's song... They're never getting back together."	[]	['FunnyWilfred']
steveannear	"RT @SpencerBuell: a Methuen casket company embraced by Taylor Swift fans after a cameo in the ""Anti-Hero"" video says it wants to make the m…"	[]	['SpencerBuell']
PFTCommenter	"New @PardonMyTake with @ColtMcCoy and agent Sean Stellato

We try to get in more trouble for a  taylor swift comment
also MNF recap are the birds dead
banner talk
Rashard Mendenhall threw out the worst/best idea of alltime
guys on chicks
https://t.co/QVtOqLsgv7 https://t.co/dA346QHQDf"	['']	['PardonMyTake', 'ColtMcCoy']
dougmow	Taylor Swift flips Cape Cod mansion at a tidy profit  http://www.bizjournals.com/boston/blog/mass_roundup/2013/03/taylor-swift-cape-cod-mansion-sold.html?ana=twt … via @BostonBizNews - who cares	[]	['bostonbiznews']
campaignamp	Revealed: how Universal Music battled piracy of Taylor Swift 1989 album  http://musically.com/2016/04/25/universal-music-battled-piracy-taylor-swift-1989/ … via @musically	[]	['musically']
highsnobiety	"highsnobiety
Nov 20If you need me, I'll be in my feelings.
highsnobiety.com
Adele & Taylor Swift's New Albums Ruined My November
Thanks to Adele and Taylor Swift, Sad Girl Autumn is in full force. The artists both have new albums out, and they're full of heartbreak and nostalgia."	[]	['highsnobiety']
instyle	Taylor Swift is nominated for Best Original Song at the 2020 @GoldenGlobes!! pic.twitter.com/BzwVyx83T9	[]	['goldenglobes']
shivampercy	"RT @spotify_swift: Taylor Swift's daily streams on Spotify:

22/4 - 65,865,546
29/4 - 67,618,775 (+1.7M) https://t.co/gZdCDvOPHe"	[]	['spotify_swift']
pastelcappucino	RT @alltoowelldior: Taylor Swift said “I bet you think about me when I’m getting my honorary doctorate from NYU ��” https://t.co/osECm46TiU	[]	['alltoowelldior']
dangerezzwoman	RT @CyrusOnStats: .@MileyCyrus has now surpassed Taylor Swift and is now the 2nd artist with most Monthly Listeners on Spotify (79,786,961)…	[]	['CyrusOnStats', 'MileyCyrus']
DanielleAlberti	RT @nicolecobler: If you are in line for Taylor Swift's presale tickets ... STAY IN LINE. It is your constitutional right.	[]	['nicolecobler']
angelkized	"RT @alefvernon: Taylor Swift, the eras swords illustration ♡ I'm so happy with this result

which one is your favorite? https://t.co/XF4P5N…"	[]	['alefvernon']
ranadurham	i agree i am usually over at my bosses houses lot so the kids use my phone lot o f course lot kids things pop up or some taylor swift but i think it helps #KinzooParent	['#kinzooparent']	['lifeofdadshow']
marykatrantzou	Meet Mary Katrantzou: The Designer Behind Taylor Swift’s Alphabet-Soup Romper @InStyle  http://news.instyle.com/2014/10/26/q-and-a-mary-katrantzou-prints/ …	[]	['instyle']
princesspiamia	Pia Mia Covers “Safe And Sound” By Taylor Swift  http://www.disneydreaming.com/2012/03/26/pia-mia-covers-safe-and-sound-by-taylor-swift/ … via @Disney_Dreaming	[]	['disney_dreaming']
reputushion	RT @youremyloverr: in going to start the rumor that taylor swift can’t read so y’all can stop this nonsense	[]	['youremyloverr']
grace_panetta	RT @PopCrave: 3 years ago today, Taylor Swift announced her 8th studio album, 'folklore.' https://t.co/JcrX9sk5na	[]	['PopCrave']
AntonyWrites	RT @EmmaManzini: Totally loving Taylor Swift's suit, which is designed to break up her shape against the background, thereby making it diff…	[]	['EmmaManzini']
fsmikey	@lcrell__xphile @FSBigBob might be one of the hardest artists for me to do, i could do a taylor swift WEEK i think with top 5 songs from every album and rank her albums. we might have to do a swiftie week at some point.	[]	['lcrell__xphile', 'FSBigBob']
fernandosalasny	RT @BonnieFuller: Taylor Swift’s Brother Austin Disses Kanye West After Offensive Song: Trashes Yeezys  http://lnkplg.co/5xoOJ  via @Hollywo…	[]	['bonniefuller', 'hollywo']
beckyrrobinson	Portland I'm coming! Only a few tix left online @HeliumComedyPdx cause Taylor Swift is coming too! pic.twitter.com/shi4F1tC0i	[]	['heliumcomedypdx']
outfrontmediaus	Calling all #Swifties! Taylor Swift's new single is taking over Times Square right now. Take a picture with the billboard and share it! You never know who might see 😉 @taylorswift13 #DOOH @Spotify #TaylorSwiftME #MeOutNow #TSQ pic.twitter.com/Oy6Zs3llmt	['#swifties', '#dooh', '#taylorswiftme', '#meoutnow', '#tsq']	['taylorswift13', 'spotify']
wmag	"With a tour of her own and an opening spot on Taylor Swift's #ERAS tour, @gracieabrams sits among Phoebe Bridgers, Haim, and more indie darlings turned powerhouses. “I’m really grateful for the genuine sisterhood that exists in this time."" https://t.co/4SC5ARVTDF https://t.co/ONQw9nW4lA"	['ERAS']	['gracieabrams']
loudmouthjulia	"julia alexander
13hGoogle Trends indicates* this could be a hit for, or something people pass on. Doesn’t help that RED NOTICE hit on the same day as a bunch of Disney+ movies landing/big Disney+ news, & Taylor Swift on SNL, which may take attention away.

*just one small data point, not conclusive"	[]	['loudmouthjulia']
eiffeltyler	I'm glad Taylor Swift is doing press again; I found this @RollingStone interview to be excellent and revealing: https://www.rollingstone.com/music/music-features/taylor-swift-rolling-stone-interview-880794/ …	[]	['rollingstone']
EW	"Entertainment Weekly
9hMichael Bublé decided to try lots of new things with his album 'Higher,' including bringing Paul McCartney on as a producer and seeking inspiration in his love for Taylor Swift
ew.com
Michael Bublé on how Paul McCartney and being a Swiftie shaped his new album
Michael Bublé decided to try lots of new things with his album 'Higher,' including bringing Paul McCartney on as a producer and seeking inspiration in his love for Taylor Swift"	[]	['EW']
Apple_Matt	"RT @ChuckCallesto: BREAKING REPORT: 'Boycott Target' TAKES THE # 1 SPOT on Apple iTunes for ALL MUSIC, knocking Taylor Swift to #2..

AMERI…"	[]	['ChuckCallesto']
Tylernol93	RT @JozuJoestar: getting off a 10 hour shift just to get a facetime call from a corny bitch at a Taylor Swift concert would be grounds for…	[]	['JozuJoestar']
ceemeterydrive	RT @YELYAHG00N: hayley speech about taylor swift and how they met ♥️ #TSTheErasTour https://t.co/CSGIJ5zuUC	['TSTheErasTour']	['YELYAHG00N']
bonniefuller	Taylor Swift's Next Album Has A Release Date   http://hollywoodlife.com/2017/08/23/taylor-swift-reputation-new-album-release-date/ … via @HollywoodLife	[]	['hollywoodlife']
luxuryperfume	Check out Taylor Swift Wonderstruck Enchanted 3.4 oz Eau De Parfum Spray For Women NIB   http://www.ebay.com/itm/Taylor-Swift-Wonderstruck-Enchanted-3-4-oz-Eau-De-Parfum-Spray-For-Women-NIB-/321879547767?roken=cUgayN&soutkn=R6UxlC … via @eBay	[]	['ebay']
taysabadbadgirl	"if directioners were 80% of harry's fandom then how come y'all can't get the other boys to be even almost as successful as him? that don't add up
 #MTVHottest Taylor Swift pic.twitter.com/uNGuNJAYGk"	['#mtvhottest']	['lovelarryinla']
blavity	Get ‘em, Cici! @Ciara clapped back at homophobes who questioned her role in Taylor Swift's new video #YNTCDmusicvideo  http://bit.ly/31GNoCT  pic.twitter.com/M9PkY0Kkld	['#yntcdmusicvideo']	['ciara']
triketora	"RT @SabrinaHalper: Barbenheimer, Taylor Swift, and viral memes really make me question the appeal of hyper personalized content.

Maybe hal…"	[]	['SabrinaHalper']
denistrubetskoy	"Denis Trubetskoy
18hOkay, ich erlaube es mir mal: Ich will schnellstmöglich nach Kiew in die Welt zurück, in der ich mich vor allem für die neue Staffel von Euphoria, Konzerte von Deep Purple, Songtexte von Taylor Swift und den Radsport interessierte."	[]	['denistrubetskoy']
KaindeB	RT @StephanieRiou: Wow I wonder what prompted Dave Grohl to take a little swipe at Taylor Swift? I’m sure it’s totally unprovoked &amp; not at…	['']	['StephanieRiou']
emmacathgarcia	"RT @lelaballerina: Not so friendly reminder Lizzo is EVERYTHING y’all want Taylor Swift to be. 

Everything. And her real life identity and…"	[]	['lelaballerina']
XGirlNYC	"RT @PopCrave: Taylor Swift urges fans to hold lawmakers accountable in the voting booth amid ongoing anti-queer legislation in the US: 

“W…"	[]	['PopCrave']
glamhive	RT @fashionuniteduk: Taylor Swift to design for  http://JD.com   http://bit.ly/1RPkicM  #fashion #news #taylorswift #design	['#fashion', '#news', '#taylorswift', '#design']	['fashionuniteduk']
drrimmer	#IStandWithTaylor trends after Taylor Swift says she could skip performances including AMAs over music rights feud  https://www.abc.net.au/news/2019-11-15/taylor-swift-tells-fans-she-cant-perform-some-music-on-tv/11708084 … via @ABCNews	['#istandwithtaylor']	['abcnews']
nbcnewsthink	"Taylor Swift, Beyoncé, Rihanna, Gaga, Pink and Kesha cleared the way for women in the 2010s, writes @maura.

How these artists weathered the music industry's shifts defied conventional wisdom about how women in the spotlight can hold on to their status: https://www.nbcnews.com/think/opinion/taylor-swift-beyonc-rihanna-gaga-pink-kesha-cleared-way-women-ncna1107886 …"	[]	['maura']
siriusxm	#TGIF! Here are the Dunwells covering Taylor Swift  https://www.youtube.com/watch?v=-WPYF1HsKMI … @thedunwells @taylorswift13	['#tgif']	['thedunwells', 'taylorswift13']
Crazy_ButCute2	"CrazyAFButCute
Nov 14Listening to Taylor Swift with my girls, cooking dinner while football plays in the background.. Maybe it's the pills but fuck, life is beautiful"	[]	['Crazy_ButCute2']
honeyadoreyou	"RT @ThePopTingz: The Guardian criticizes Taylor Swift’s lack of support for the LGBTQIA+ community in new article:

""Swift’s Eras tour has…"	[]	['ThePopTingz']
literElly	"Elly Belle (famously not a woman)
5h@enerianna
 I have the ""hey isn't this DIFFICULT"" taylor swift tiktok remix stuck in my head and need to know if you've heard it lol"	[]	['literElly', 'enerianna']
ChelseaCirruzzo	WASHINGTON — the people are waiting for the Taylor Swift listening party at @thepugdc, Bach in paradise is playing, a former Bach contestant is here	[]	['thepugdc']
rushworth_peter	"@ZMyersOfficial @DailyMailUK
""So who is Bonnie Raitt? Shock moment blues singer beats Beyonce, Adele, Taylor Swift, Harry Styles, Kendrick Lamar and more to win coveted Song of the Year award at Grammys""

Gutter press in the UK didn't know who @TheBonnieRaitt was

Seriously‼️educate yourselves"	[]	['ZMyersOfficial', 'DailyMailUK', 'TheBonnieRaitt']
crimsonpostgrad	RT @ronancce: taylor swift really has straight swifties out here knitting lesbian pride blankets and getting mad when they’re told they mad…	[]	['ronancce']
peachcrisis	RT @itsokaybis: i want to enjoy taylor swift music but taylor swift fans make it really difficult to do so	[]	['itsokaybis']
djpeltier	RT @skift: Taylor Swift Wants to Welcome You to New York City  http://skft.it/1pR9vfH   pic.twitter.com/wxJxumf1BD #TaylorSwift #NewYork	['#taylorswift', '#newyork']	['skift']
mitchblack1	Ryan Adams on His Full-Album Taylor Swift Cover: 'You Just Have to Mean It'  http://rol.st/1LIy4FE  via @rollingstone	[]	['rollingstone']
bonniefuller	Taylor Swift & Joe Alwyn Cozy Up Together At Their Table During The Golden Globes  https://hollywoodlife.com/2020/01/05/taylor-swift-joe-alwyn-golden-globes-2020-photos/ … via @HollywoodLife CUTE!	[]	['hollywoodlife']
comissionworld	Taylor Swift was on track to earn $6 million, according to @Spotify CEO, via @FastCompany  http://ow.ly/E83af 	[]	['spotify', 'fastcompany']
kvburton657	"RT @swiftbunnies: One of the most underrated Taylor Swift lyrics is:

And you understand now why they lost their minds and fought the wars…"	[]	['swiftbunnies']
1027KIISFM	"102.7 KIIS FM
Oct 26Basic Autumn Lovers, #TaylorSwift said its time to RISE
kiisfm.iheart.com
Taylor Swift Has A Demand For All ‘Basic Autumn Lovers' | KIIS FM
Taylor Swift took to Instagram to share a video sharing the wonders of fall"	['TaylorSwift']	['1027KIISFM']
filmindependent	#FilmIndependent Fellow Lana Wilson (#FastTrack 2015) directed and #SpiritAwards winner Morgan Neville produced TAYLOR SWIFT: MISS AMERICANA, premiering at @sundancefest, out on @NetflixFilm in Jan. Read all about it, then check out our filmmaker programs:  http://bit.ly/FiLabs  https://twitter.com/NetflixFilm/status/1202335003176136704 …	['#filmindependent', '#fasttrack', '#spiritawards']	['sundancefest', 'netflixfilm']
BreitbartNews	"WATCH: Matt Boyle sits down for an exclusive, long-form interview with Sen. 
@MarshaBlackburn
 for Breitbart's #OnTheHill video series.

And yes, there's more on Taylor Swift.Exclusive -- Watch: Marsha Blackburn Urges Republicans to ‘Fight the Culture War’
Sen. Marsha Blackburn (R-TN) is urging her GOP colleagues nationwide to join her in fighting the “culture war” against a rising radical left.
breitbart.com"	['OnTheHill']	['MarshaBlackburn']
alexwassabi	New Wassabi Taylor Swift Parody! #newwassabi #richard #rolanda @roiwassabi RT  http://www.youtube.com/watch?v=sfOpoWmVSd0&feature=youtube_gdata_player …	['#newwassabi', '#richard', '#rolanda']	['roiwassabi']
taylornation13	"@NashVegasSwift Hahahaha @ChrisStapleton ""I'd like to thank Taylor Swift for glitter bombing me earlier"". 😂 #GRAMMYs"	['#grammys']	['nashvegasswift', 'chrisstapleton']
shivampercy	RT @TSwiftFTC: “Midnights” (10) by Taylor Swift breaks the record for the most Top 10 singles from one female album on Billboard Hot 100 th…	[]	['TSwiftFTC']
TheBreyKeys	"RT @mylifelessframe: taylor swift drying her hair because her hair dryer broke
https://t.co/vRWvPm3mqo"	[]	['mylifelessframe']
dumbassgenius	"Looks like @cathaypacific tickets are the new Taylor Swift tickets. Bad tech, bad times.

Hey, Cathay Pacific - how about some help?"	[]	['cathaypacific']
SexistHousecat	RT @feufillet: Ladies, listen to Taylor Swift! Read your tarot cards! Date men who make you breakfast, not men who make you compromise! You…	[]	['feufillet']
danielledozier	Hey yinz -- Taylor Swift is in town! Try to stay cool out there at the concert!  http://on.wpxi.com/2niRq1m  @heinzfield @taylorswift13	[]	['heinzfield', 'taylorswift13']
swifferdust	"M//irrorball || Tayriana
Sep 21It’s 2062. ME! (Taylor’s Version) has just won 15 Grammy awards at the same ceremony. Taylor Swift now has a total of 529 Grammys. Scooter Braun was found dead in his home with Stay Stay Stay playing in the background. Ariana Grande has released just released her 7th album, R.E.M"	[]	['swifferdust']
blurryswiftie	"unlucky øne ⊬
Nov 12sem meme eu gostei dessa de vdd KKKKKKKKKK
music.apple.com
Girl At Home (Taylor's Version) por Taylor Swift
Ouça Girl At Home (Taylor's Version) de Taylor Swift no Apple Music. 2021. Duração: 3:40"	[]	['blurryswiftie']
msnbc	"Watch Lady Gaga, Paul McCartney, Elton John, Taylor Swift, Jennifer Lopez, Lizzo, Billie Eilish and more join forces for ""One World: Together At Home,"" a special to support the World Health Organization and fight to end COVID-19.

Watch at 8 p.m. ET on @MSNBC pic.twitter.com/gTFzyKu4dB"	[]	['msnbc']
b4llyache	RT @filmdearmas: taylor swift taylor swift taylor swift taylor swift taylor swift taylor swift taylor swift taylor swift taylor swift taylo…	[]	['filmdearmas']
KosokoJackson	"RT @FakeShowbizNews: Taylor Swift reveals she’s already starting to have a positive impact on new boyfriend Matty Healy.

“I’ve convinced h…"	[]	['FakeShowbizNews']
FunnyWilfred	"Wilfred
15hShut up bitch. Your legs are like Taylor Swift's song... They're never getting back together."	[]	['FunnyWilfred']
HelloKrystalWu	"This is a shot in the dark, but…. Is anyone selling Gillette Stadium Taylor Swift tickets? 

If you’re a scammer, I will sniff you out. Seriously sales only. 
@ErasTourResell"	[]	['ErasTourResell']
J14Magazine	"J-14 Magazine
11hWe have you covered!
j-14.com
Miles Teller's Connection to Taylor Swift Explained: Music Video and More
Miles Teller starred in Taylor Swift's 'I Bet You Think About Me' music video, but how did the two get connected? Here's what we know!"	[]	['J14Magazine']
thatprincesong	RT @sedderaside: All these memes about Taylor Swift made me think about when John Travolta handed Jade Jolie a VMA cuz he thought that was…	[]	['sedderaside']
lzxdc	RT @SenBlumenthal: Taylor Swift’s tour sale is a perfect example of how the Live Nation/Ticketmaster merger harms consumers by creating a n…	[]	['SenBlumenthal']
mreddiehuang	10 Taylor Swift Songs Written About Menswear Bloggers  http://m.complex.com/style/2013/01/10-taylor-swift-songs-written-about-menswear-bloggers/ … via @complexmag -THAT'S MY MANS IN THERE @impossiblecool	[]	['complexmag', 'impossiblecool']
touristinfo	We Need To Stop Talking About Taylor Swift on @BuzzFeed:  http://bzfd.it/1TDAga9  //  http://bzfd.it/1XKP45W  pic.twitter.com/yT2WwEt4OK	[]	['buzzfeed']
b4llyache	"joHn �������� ����
9hopen.spotify.com
evermore (deluxe version)
Taylor Swift · Album · 2021 · 17 songs."	[]	['b4llyache']
HumbertoZamoraR	"RT @USATODAY: Taylor Swift paused a ""very hot"" show in Rio to help an audience member get water. A later show was postponed for concern ove…"	['']	['USATODAY']
richard49step	RT @lance_cotten: That moment Taylor Swift Tells her dad she’s not staying quiet anymore! “@MarshaBlackburn is wrong and doesn’t stand for…	[]	['lance_cotten', 'MarshaBlackburn']
bridgetfeehan13	@blakeleigh happy birthday to the most beautiful and gorgeous person. I hope you have an awesome day. I hope you get all the presents you want and get spoilt because you totally deserve it. I hope you get Taylor swift presents for your birthday. Enjoy your special day beautiful pic.twitter.com/h5tRXC0FqS	[]	['blakeleigh']
MUSIKMENFESS	"#
Sep 8# saranin lagu yang vibe nya anger, revenge, badass gitu dong. kaya look what you made me do nya taylor swift"	[]	['MUSIKMENFESS']
KareBearScare	@alextwig82 @MelissaCarbal14 The guys that say stuff like this also believe they can nab Taylor Swift and win a physical fight with a grizzly bear 😂	['']	['alextwig82', 'MelissaCarbal14']
bridgetfeehan13	"Bridget Feehan 13
Feb 3My album ranking 
1. Taylor swift 
1. Fearless and fearless Taylor’s version
1. Speak now
1. Red and red Taylor’s version
1. 1989
1. Reputation 
1. Lover
1. Folklore 
1. Evermore"	[]	['bridgetfeehan13']
kirstenjayn	@PuciaLace @ReeyaPat @jdlmurrell I'm so jealous 😩 I'm sat at my desk listening to Jens mate Taylor Swift	[]	['pucialace', 'jdlmurrell']
nashy	"This needs a @cue response.  http://www.elischiff.com/blog/2015/6/23/apples-indies … Taylor Swift is not an ""indie""...!"	[]	['cue']
psxextreme	@davidscottjaffe Hey, that's cool by me.  I mean...so long as I'm not hearing Taylor Swift in your next game. ;)	[]	['davidscottjaffe']
carestreamdentl	@iDGS Drumroll, please... It's the one and only Taylor Swift! Be on the lookout for July's Guess the Smile Challenge - it's really tricky!	[]	['idgs']
robertloerzel	"RT @LynnBecker: @capitolfax A ""Taylor Swift Residency""?  What do they think this is, Vegas?  Or that she'd be interested in a ""residency"" w…"	[]	['LynnBecker', 'capitolfax']
JeffEisenband	"RT @EisOnGolf: Is golf the next chapter in Taylor Swift and Travis Kelce's relationship? The Eras Tour does goes to Europe in 2024.

@kclai…"	['']	['EisOnGolf']
